url,title,associated-university-institution-company,type,image,category-subject-area,certificate-is-available,description,duration,language,level,prerequisites,price,rating,syllabus,timestamp
https://www.coursera.org/specializations/networking-google-cloud-platform,Networking in Google Cloud Specialization,Google Cloud,specializations,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~networking-google-cloud-platform/XDP~SPECIALIZATION!~networking-google-cloud-platform.jpeg,Networking,Shareable Certificate,"This specialization gives participants broad study of core infrastructure and networking options on Google Cloud Platform. Through recorded lectures, demonstrations, and hands-on labs, participants explore and deploy GCP networking technologies, such as Google Virtual Private Cloud (VPC) networks, subnets, firewalls; interconnection among networks; load balancing; Cloud DNS; Cloud CDN. The specialization will also cover common network design patterns and automated deployment using Deployment Manager.",Approximately 4 months to complete,English,Intermediate Level,-,free,4.8,-,2022-07-29T23:58:34Z
https://www.coursera.org/learn/2-speed-it,"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",CentraleSupélec,course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~2-speed-it/XDP~COURSE!~2-speed-it.jpeg,Business Essentials,Shareable Certificate,"Transform or disappear, the Darwinism of IT: In order to adapt to a digital world, a two-speed IT is needed.",Approx. 14 hours to complete,English,-,-,free,4.3,"Introduction ~.~ Start here! ~.~ IT and the CIO in the Digital World ~.~ There is a gap between what we observed about IT in companies and what is actually needed. Some best practice examples will be given. ~.~ Steer the Balance Sheet ~.~ The first new role of the CIO in the digital world is to manage both the P&L and the balance sheet to position IT as a business partner. ~.~ Market and Sell Products ~.~ Being a business partner starts with deciding what IT sells and what IT does not sell. ~.~ Run the Factories ~.~ Building applications and running operations require the adoption of a ""factory mind-set."" ~.~ Manage Human Resources ~.~ In a digital world, “strategic workforce management” is the name of the game. ~.~ Transform or Disappear ~.~ In this final module, we will see that IT must continually transform itself to adapt to an ever-changing environment. We will take a look at how that should be done: there are rules to make this happen.",2022-07-29T23:58:34Z
https://www.coursera.org/learn/fundamentals-network-communications,Fundamentals of Network Communication,University of Colorado System,course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~fundamentals-network-communications/XDP~COURSE!~fundamentals-network-communications.jpeg,Computer Security and Networks,Shareable Certificate,"In this course, we trace the evolution of networks and identify the key concepts and functions that form the basis for layered architecture. We introduce examples of protocols and services that are familiar to the students, and we explain how these services are supported by networks. Further, we explain fundamental concepts in digital communication, and focus on error control techniques that include parity check, polynomial code, and Internet checksum. Students will be required to have some previous programming experience in C-programming (C++/Java), some fundamental knowledge of computer organization and IT architecture and a background in computer science is a plus.",Approx. 15 hours to complete,English,Intermediate Level,-,free,4.6,"Communication Networks and Services ~.~ This module discusses the evolution of three example networks and their associated services, how services are influencing the evolution of modern networks, and examples of protocols and services. ~.~ Layered Architectures ~.~ This module discusses the OSI reference model and show how the overall communication process can be organized into functions that are carried out in seven layers, and introduces the TCP/IP architecture with a detailed routing example. ~.~ Socket API & Digital Transmissions ~.~ This module introduces BSD sockets, which allow the student to write applications that use the service provided by the TCP/IP protocols. It also introduces some fundamentals of digital communications. ~.~ Error Control ~.~ This module presents coding techniques that can be used to detect errors that may occur during digital transmission. These coding techniques form the basis for protocols that provide reliable transfer of information. ~.~ course project - fundamentals of network communication ~.~ This is a comprehensive peer review assessment",2022-07-29T23:58:54Z
https://www.coursera.org/learn/ux-design-jobs,Design a User Experience for Social Good & Prepare for Jobs,Google,course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ux-design-jobs/XDP~COURSE!~ux-design-jobs.jpeg,Design and Product,Shareable Certificate,"Design a User Experience for Social Good and Prepare for Jobs is the seventh and final course in a program that will equip you with the skills you need to become an entry-level UX designer. In this course, you will design a dedicated mobile app and a responsive website focused on social good. You will showcase all that you’ve learned during the certificate program to complete the design process from beginning to end: empathizing with users, defining their pain points, coming up with ideas for design solutions, creating wireframes and prototypes, and testing designs to get feedback. By the end of this course, you will have a new cross-platform design project to include in your professional UX portfolio.",Approx. 71 hours to complete,English,Beginner Level,-,free,4.8,"Starting the UX design process: empathize, define, ideate ~.~ You've reached the final course of the Google UX Design Certificate — congratulations! You will design a dedicated mobile app and a responsive website focused on social good that showcases everything you've learned in the program. To get started, you'll learn about designing across devices by exploring progressive enhancement and graceful degradation approaches and the 4Cs. With all of this new knowledge, you’ll begin your portfolio project. You’ll start with the empathize phase, where you’ll create personas, user stories, and user journey maps. Then, you’ll move on to the define phase, where you’ll identify the user need your project will focus on and build a problem statement. Finally, you’ll make your way into the ideate phase, where you’ll conduct a competitive audit and come up with ideas for your dedicated mobile app design through sketching. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Creating wireframes and low-fidelity prototypes ~.~ In this part of the course, you’ll take everything you’ve learned about the user problem you’re trying to solve and come up with a basic version of your dedicated mobile app. You’ll start by creating paper wireframes to come up with lots of ideas. You’ll take the best parts of your paper wireframes and create digital wireframes in Figma or Adobe XD. Next, you’ll turn your digital wireframes into a low-fidelity prototype. Then, you'll plan and conduct a usability study to get feedback about your low-fidelity prototype, and you’ll make changes to your designs based on insights from your research. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Creating mockups and high-fidelity prototypes ~.~ Welcome to the world of high-fidelity design! In this part of the course, you will create mockups for your dedicated mobile app that incorporate visual design elements and principles. Along the way, you’ll save elements and components in your design system, which you'll be able to reuse when you design a responsive website in the next part of the course. Then, you’ll turn your mockups into a high-fidelity prototype. Finally, you’ll have the option to plan and conduct a usability study to gather feedback about your high-fidelity prototype. By the end of this part of the course, your dedicated mobile app designs will be complete, and you will be more than halfway done with your portfolio project. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Designing a complementary responsive website ~.~ With completed designs for your dedicated mobile app, you'll take what you learned about your product and users and apply that to design a responsive website for social good. To begin, you’ll learn how to design for different experiences and screen sizes. Next, you’ll review the importance of information architecture and create a sitemap for your website. You’ll also sketch lots of ideas and potential layouts for your website. You’ll create wireframes on paper, digitally, or both for different sized screens. And you’ll develop a low-fidelity prototype and test it through a usability study to improve your designs. Then, you’ll move into high-fidelity designs where you'll create mockups for different sized screens of your responsive website. Finally, you’ll create a high-fidelity prototype of your responsive website, and test it one more time. By the end of this part of the course, your cross-platform designs will be complete and added to your online portfolio! ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Building a professional presence ~.~ As the digital world continues to expand, companies recognize that designing good user experiences is a necessity, which is why UX design is a high-growth and in-demand job field. The key to landing one of those UX design jobs is a strong portfolio and online presence. In this part of the course, you'll start to create a portfolio to showcase your upcoming work. You'll also learn about the importance of having a personal brand and building an online presence. ~.~ Finding a UX job ~.~ In the final part of the Google UX Design Certificate, you’ll prepare to find a job as a new UX designer. You’ll start by making final adjustments to your portfolio to ensure it’s ready to share in job applications. Next, you’ll examine the UX design interview process and develop strategies to succeed in various types of interview: pre-interview research, an elevator pitch, a phone screen, a portfolio presentation, a whiteboard exercise, a take home design exercise, and more. Finally, you’ll explore the world of freelancing by creating a business plan and learning how to land your first client.",2022-07-29T23:59:20Z
https://www.coursera.org/learn/database-applications-php,Building Database Applications in PHP,University of Michigan,course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~database-applications-php/XDP~COURSE!~database-applications-php.jpeg,Mobile and Web Development,Shareable Certificate,"In this course, we'll look at the object oriented patterns available in PHP. You'll learn how to connect to a MySQL using the Portable Data Objects (PDO) library and issue SQL commands in the the PHP language. We'll also look at how PHP uses cookies and manages session data. You'll learn how PHP avoids double posting data, how flash messages are implemented, and how to use a session to log in users in web applications. We'll then build the first 'complete' application that has multiple screens to Create, Read, Update and Delete (CRUD) our data. This brings all the previous concepts together and will form the basis for all later web applications.  It is assumed that learners have already taken the Building Web Applications course in this specialization.",Approx. 24 hours to complete,English,Intermediate Level,-,free,4.9,"PHP Objects ~.~ We look at the object oriented patterns available in PHP. ~.~ Connecting PHP and MySQL ~.~ We look at how we connect to a MySQL using the Portable Data Objects (PDO) library and issue SQL commands in the the PHP language. ~.~ PHP Cookies and Sessions ~.~ We look at how PHP uses cookies and manages session data. ~.~ PHP Redirect, Routing, and Authentication ~.~ We look at how PHP avoids double posting data, how flash messages are implemented, and how we use a session to log in users in web applications. ~.~ Building a CRUD Application ~.~ Now we build our first 'complete' application that has multiple screens to Create, Read, Update and Delete (CRUD) our data. This brings all the previous concepts together and will form the basis for all later web applications.",2022-07-29T23:59:20Z
https://www.coursera.org/learn/web-design-wireframes-prototypes,Web Design: Wireframes to Prototypes,California Institute of the Arts,course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~web-design-wireframes-prototypes/XDP~COURSE!~web-design-wireframes-prototypes.jpeg,Music and Art,Shareable Certificate,"This course is focused on the application of the early UX research to actual user interfaces: the creation of wireframes, high-fidelity mockups, and clickable prototypes. Along the way we will also discuss:",Approx. 41 hours to complete,English,Intermediate Level,-,free,4.9,"Not Getting Caught up in the Details: Wireframes ~.~ This week is all about wireframes. After mapping out our strategy and scope in the previous course, Web Design: Strategy and Information Architecture, this is the first time in the process that we will address the screen. Now things are going to get much more concrete as we’re starting to actually lay out elements for the user interface. This week you will learn why working on wireframes first—before designing high-fidelity mockups—is a helpful intermediate step. I’ll also talk about responsive design, navigation systems, wayfinding, common design patterns, and strategies for homepage design. And, we’ll discuss which tools are most appropriate for creating wireframes. Because creating those will be your assignment at the end of the week. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Finally, Make it Beautiful: The Mockup Phase ~.~ We finally reached the point that many of you—especially if you consider yourself a visual designer—have probably been waiting for. We’ll now talk about designing the look and feel for your website. Meaning, we’re ready to design visual mockups. Finally, you’ll get to decide on colors, typefaces, and images. Maybe you’ll create a few illustrations. And your site will need a logo, too. This week, we’ll focus on designing the visual mockups of just the homepage. To find some inspiration, I’ll also have you create a mood board. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ An Excursion to Codelandia ~.~ This week, you’ll continue the visual design of your websites, refining the look and feel based on peer feedback. Having worked on the homepage mockup last week, it’s time to design the remaining screens. As an important aside, I will take you on a short expedition to the land of code. Although this specialization isn’t about learning how to code, I want to at least introduce you to the technologies that make the web work. And we’ll look at a few coding examples. After all, the web is built upon certain languages—HTML, CSS, and JavaScript.  in order to be an effective UX designer, it is helpful to have a rudimentary understanding of these technologies. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Putting it all Together: Final Presentation ~.~ Welcome to the final week of this course and the final week of the entire UI/UX Design Specialization. I hope that you learned a lot of new concepts, techniques, and skills that will allow you to design some amazing interactive experiences in the real world. This week, you will have time to revise any of your project components. And then I’d like you to assemble them into a presentation that will represent the culmination of all of the UX phases we covered. This should be a great project to include in your portfolio. I’ll also show you how to take your static mockups and assemble them into clickable prototypes. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL",2022-07-29T23:59:20Z
https://www.coursera.org/learn/wireframes-low-fidelity-prototypes,Build Wireframes and Low-Fidelity Prototypes,Google,course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~wireframes-low-fidelity-prototypes/XDP~COURSE!~wireframes-low-fidelity-prototypes.jpeg,Design and Product,Shareable Certificate,"Build Wireframes and Low-Fidelity Prototypes is the third course in a certificate program that will equip you with the skills you need to apply to entry-level jobs in user experience (UX) design. In this course, you’ll continue to design a mobile app for your professional UX portfolio. You’ll start by creating storyboards and getting familiar with the basics of drawing. Then, you'll create paper wireframes and digital wireframes using the design tool Figma. You’ll also create a paper prototype and a digital low-fidelity prototype in Figma.",Approx. 22 hours to complete,English,Beginner Level,-,free,4.9,"Storyboarding and wireframing ~.~ Welcome to the world of wireframes! You'll start by learning how to use research findings to inform ideation during the design process. Next, you'll create two types of storyboards: big picture and close-up. Then, you'll draw your first wireframes, and you'll explore the benefits of wireframing. Keep in mind that at this point in the design process, you should have lots of ideas for designs that address real user needs. You want to refine those ideas, and wireframing can help you do that. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Creating paper and digital wireframes ~.~ This is an action-packed part of the course where you'll draw wireframes for a mobile app! First, you'll draw lots of wireframes on paper. Then, you'll transition to digital wireframes in the design tool Figma. You'll even learn directly from Figma about how to best use their tool. Finally, you'll apply Gestalt Principles, like similarity, proximity, and common region, to your wireframes. ~.~ Building low-fidelity prototypes ~.~ You've gone through the first three stages of the design process: empathize, define, and ideate. Now, you'll enter the fourth stage of the design process: prototype. First, you'll create a paper prototype of your mobile app. Then, you'll transition to a digital low-fidelity prototype in Figma. In addition, you'll explore ways to recognize potential bias in your designs and learn how to avoid deceptive patterns. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL",2022-07-29T23:59:51Z
https://www.coursera.org/learn/introduction-programming-unity,Introduction to C# Programming and Unity,University of Colorado System,course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-programming-unity/XDP~COURSE!~introduction-programming-unity.jpeg,Software Development,Shareable Certificate,"This course is all about starting to learn how to develop video games using the C# programming language and the Unity game engine on Windows or Mac. Why use C# and Unity instead of some other language and game engine? Well, C# is a really good language for learning how to program and then programming professionally. Also, the Unity game engine is very popular with indie game developers; Unity games were downloaded 16,000,000,000 times in 2016! Finally, C# is one of the programming languages you can use in the Unity environment.",Approx. 19 hours to complete,English,Beginner Level,-,free,4.6,"Starting to Program ~.~ In this module, you'll learn about the course and get Unity installed and configured. You'll write your first C# console application and your first C# script in Unity. ~.~ Data Types, Variables, and Constants ~.~ In this module, you'll learn how information is stored in the computer using binary and you'll learn how data types tell us how to interpret the bits and memory and what operations we can perform on those bits. You'll also learn about the most commonly-used numeric types in C#, you'll get some practice reading documentation (which programmers do all the time!), and you'll learn how to use the debugger to find and fix bugs in your code. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Classes and Objects ~.~ In this module, you'll learn the foundational concepts in the Object-Oriented (OO) paradigm. This paradigm is incredibly useful in game development, because it models our software system as a set of software objects that interact with each other. Those concepts map nicely to games, which typically include lots of game entities that interact with each other. You'll learn how to actually use classes and objects in your code as well. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Unity 2D Basics ~.~ In this module, you'll learn some of the basic ideas behind using Unity to develop 2D games. You'll also learn how we can make decisions in our code.",2022-07-30T00:00:07Z
https://www.coursera.org/specializations/virtual-reality,Virtual Reality Specialization,-,specializations,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~virtual-reality/XDP~SPECIALIZATION!~virtual-reality.jpeg,Design and Product,Shareable Certificate,This specialisation from the,Approximately 6 months to complete,English,Beginner Level,-,free,4.7,-,2022-07-30T00:00:07Z
https://www.coursera.org/specializations/cplusplusunrealgamedevelopment,C++ Programming for Unreal Game Development Specialization,University of Colorado System,specializations,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~cplusplusunrealgamedevelopment/XDP~SPECIALIZATION!~cplusplusunrealgamedevelopment.jpeg,Software Development,Shareable Certificate,This Specialization is intended for intermediate programmers who want to learn how to program Unreal Engine games using C++. Learners should complete at least one other programming Specialization on Coursera (see,Approximately 4 months to complete,English,Intermediate Level,-,free,4.6,-,2022-07-30T00:00:07Z
